country,transaction_lines,order_count,customer_count,units_sold,revenue,revenue_share,order_share,customer_share,market_group,revenue_rank
United Kingdom,713436,33541,5350,8671453,14666669.08,0.8293,0.9073,0.9082,Domestic,1
EIRE,15729,567,5,321546,621304.32,0.0351,0.0153,0.0008,International,2
Netherlands,5087,228,22,383976,554230.69,0.0313,0.0062,0.0037,International,3
Germany,16670,789,107,227769,430703.79,0.0244,0.0213,0.0182,International,4
France,13779,614,95,273477,355059.38,0.0201,0.0166,0.0161,International,5
Australia,1811,95,15,104080,169900.61,0.0096,0.0026,0.0025,International,6
Spain,3707,154,41,50774,109127.21,0.0062,0.0042,0.007,International,7
Switzerland,3011,90,22,52337,100365.34,0.0057,0.0024,0.0037,International,8
Sweden,1317,104,19,88495,91515.82,0.0052,0.0028,0.0032,International,9
Denmark,798,43,12,237925,69862.19,0.004,0.0012,0.002,International,10
Belgium,3067,149,29,35296,65733.92,0.0037,0.004,0.0049,International,11
Norway,1436,45,13,27203,60109.62,0.0034,0.0012,0.0022,International,12
Portugal,2436,93,24,28083,57219.3,0.0032,0.0025,0.0041,International,13
Japan,485,33,10,33327,47138.39,0.0027,0.0009,0.0017,International,14
Channel Islands,1568,55,13,21476,44986.86,0.0025,0.0015,0.0022,International,15
Italy,1466,65,17,15476,32535.97,0.0018,0.0018,0.0029,International,16
Finland,1032,57,14,14375,29925.54,0.0017,0.0015,0.0024,International,17
Singapore,339,11,1,6994,25317.06,0.0014,0.0003,0.0002,International,18
Cyprus,1136,37,11,10950,24849.95,0.0014,0.001,0.0019,International,19
Austria,922,45,13,11578,23613.01,0.0013,0.0012,0.0022,International,20
Greece,657,18,5,7724,19096.19,0.0011,0.0005,0.0008,International,21
Poland,512,28,6,5828,10902.45,0.0006,0.0008,0.001,International,22
Israel,319,7,4,5175,10415.24,0.0006,0.0002,0.0007,International,23
United Arab Emirates,383,11,4,5839,9202.69,0.0005,0.0003,0.0007,International,24
Unspecified,518,16,6,5113,8607.35,0.0005,0.0004,0.001,International,25
USA,409,20,9,5264,8366.86,0.0005,0.0005,0.0015,International,26
Malta,282,9,2,2519,8099.09,0.0005,0.0002,0.0003,International,27
Lithuania,189,6,1,2958,6553.74,0.0004,0.0002,0.0002,International,28
Iceland,253,8,1,3286,5633.32,0.0003,0.0002,0.0002,International,29
Canada,228,8,5,3657,4883.04,0.0003,0.0002,0.0008,International,30
Thailand,76,2,1,2552,3070.54,0.0002,0.0001,0.0002,International,31
RSA,122,2,2,942,1933.74,0.0001,0.0001,0.0003,International,32
Lebanon,45,1,1,386,1693.88,0.0001,0.0,0.0002,International,33
Brazil,94,2,2,545,1411.87,0.0001,0.0001,0.0003,International,34
Bahrain,59,4,2,755,1354.37,0.0001,0.0001,0.0003,International,35
European Community,60,4,1,499,1300.25,0.0001,0.0001,0.0002,International,36
Korea,53,2,2,700,1118.51,0.0001,0.0001,0.0003,International,37
Czech Republic,25,2,1,671,826.74,0.0,0.0001,0.0002,International,38
West Indies,54,1,1,395,536.41,0.0,0.0,0.0002,International,39
Saudi Arabia,9,1,1,80,145.92,0.0,0.0,0.0002,International,40
Nigeria,30,2,1,103,140.39,0.0,0.0001,0.0002,International,41
