customer_id,total_orders,total_revenue,average_order_value,first_purchase_date,last_purchase_date,days_since_last_purchase,repeat_customer_flag
18102,145,608821.65,4198.77,2009-12-01,2011-12-09,1,1
14646,151,528602.52,3500.68,2009-12-02,2011-12-08,2,1
14156,156,313759.82,2011.28,2009-12-01,2011-11-30,10,1
14911,398,295832.39,743.3,2009-12-01,2011-12-08,2,1
17450,51,246813.09,4839.47,2010-09-27,2011-12-01,9,1
13694,143,196482.81,1374.01,2009-12-04,2011-12-06,4,1
17511,60,175603.55,2926.73,2009-12-02,2011-12-07,3,1
16446,2,168472.5,84236.25,2011-05-18,2011-12-09,1,1
16684,55,147142.77,2675.32,2009-12-07,2011-12-05,5,1
12415,28,144458.37,5159.23,2010-06-30,2011-11-15,25,1
15061,127,137818.52,1085.19,2009-12-01,2011-12-06,4,1
16029,107,122035.14,1140.52,2009-12-08,2011-11-01,39,1
17949,118,118628.08,1005.32,2009-12-02,2011-12-08,2,1
13089,203,116647.53,574.62,2009-12-02,2011-12-07,3,1
15311,208,116575.49,560.46,2009-12-01,2011-12-09,1,1
12931,57,92347.34,1620.13,2009-12-01,2011-11-18,22,1
14298,82,91194.49,1112.13,2009-12-11,2011-12-01,9,1
15769,46,88704.32,1928.35,2009-12-11,2011-12-02,8,1
12346,12,77556.46,6463.04,2009-12-14,2011-01-18,326,1
13798,110,75836.87,689.43,2009-12-08,2011-12-08,2,1
15838,34,74163.0,2181.26,2009-12-15,2011-11-28,12,1
17841,211,70081.86,332.14,2009-12-02,2011-12-08,2,1
16754,29,67502.47,2327.67,2010-03-08,2010-12-02,373,1
14096,17,65164.79,3833.22,2011-08-30,2011-12-05,5,1
14088,16,64036.8,4002.3,2010-10-14,2011-11-29,11,1
16422,109,63589.07,583.39,2010-01-12,2011-11-22,18,1
13081,28,59205.15,2114.47,2009-12-08,2011-11-28,12,1
14680,58,57369.38,989.13,2009-12-04,2011-11-14,26,1
17389,61,57215.33,937.96,2009-12-04,2011-12-09,1,1
16013,84,57140.44,680.24,2009-12-08,2011-12-06,4,1
17850,155,56600.08,365.16,2009-12-05,2010-12-02,373,1
13777,61,56478.42,925.88,2009-12-02,2011-12-09,1,1
12748,336,55511.09,165.21,2009-12-04,2011-12-09,1,1
13093,55,54943.65,998.98,2009-12-04,2011-03-09,276,1
13408,106,51733.46,488.05,2009-12-04,2011-12-08,2,1
17404,23,47781.12,2077.44,2010-01-07,2011-12-05,5,1
13881,43,45179.1,1050.68,2010-03-04,2011-12-06,4,1
15749,3,44534.3,14844.77,2011-01-11,2011-04-18,236,1
16705,42,43515.05,1036.07,2009-12-09,2011-12-09,1,1
14031,44,40919.58,929.99,2009-12-03,2011-12-02,8,1
17381,38,40002.37,1052.69,2010-06-09,2011-12-01,9,1
12471,79,39918.19,505.29,2009-12-07,2011-12-07,3,1
15098,3,39916.5,13305.5,2011-06-10,2011-06-10,183,1
15039,93,39726.89,427.17,2009-12-10,2011-11-30,10,1
16210,35,38489.51,1099.7,2009-12-02,2011-12-08,2,1
17675,70,38259.6,546.57,2009-12-10,2011-12-08,2,1
17677,54,36675.06,679.17,2009-12-16,2011-12-08,2,1
12921,74,35921.04,485.42,2009-12-01,2011-11-30,10,1
13767,73,35540.53,486.86,2009-12-01,2011-12-07,3,1
12678,21,34281.18,1632.44,2010-01-07,2011-10-28,43,1
13902,5,34095.26,6819.05,2009-12-15,2010-03-17,633,1
15856,52,33847.27,650.91,2009-12-03,2011-12-05,5,1
16779,53,33165.94,625.77,2009-12-03,2011-12-07,3,1
14258,25,32051.34,1282.05,2009-12-04,2011-11-30,10,1
17428,45,31819.76,707.11,2009-12-01,2011-12-09,1,1
12681,45,30868.28,685.96,2009-12-13,2011-11-25,15,1
12709,34,30814.46,906.31,2009-12-09,2011-11-24,16,1
14606,192,30558.25,159.16,2009-12-03,2011-12-08,2,1
17940,16,30306.79,1894.17,2009-12-03,2011-10-21,50,1
13078,57,29532.45,518.11,2009-12-01,2011-12-06,4,1
13098,28,28882.44,1031.52,2011-01-26,2011-12-08,2,1
17857,24,28682.24,1195.09,2010-03-08,2011-12-05,5,1
14527,122,27764.21,227.58,2009-12-02,2011-12-07,3,1
15513,35,27750.55,792.87,2010-01-13,2011-11-06,34,1
16333,22,26626.8,1210.31,2011-02-03,2011-12-02,8,1
17865,46,26312.19,572.0,2009-12-01,2011-11-09,31,1
18251,9,26278.86,2919.87,2009-12-22,2011-09-13,88,1
13802,19,26259.11,1382.06,2010-02-16,2011-07-24,139,1
15498,44,25949.58,589.76,2009-12-16,2011-12-07,3,1
12731,17,25775.71,1516.22,2010-03-02,2011-11-16,24,1
14062,24,25585.65,1066.07,2009-12-10,2011-11-30,10,1
12744,11,25317.06,2301.55,2010-04-27,2011-10-19,52,1
12939,20,25264.8,1263.24,2010-01-12,2011-10-06,65,1
14895,38,25119.54,661.04,2009-12-10,2011-12-02,8,1
12621,35,24775.81,707.88,2010-02-09,2011-12-08,2,1
16525,48,24562.74,511.72,2009-12-02,2011-12-07,3,1
17920,54,24256.74,449.2,2009-12-06,2011-12-05,5,1
13001,33,24042.65,728.57,2009-12-03,2011-12-05,5,1
12682,52,24025.51,462.03,2009-12-01,2011-12-06,4,1
15640,29,23828.03,821.66,2009-12-14,2011-12-05,5,1
14607,22,23763.13,1080.14,2009-12-15,2011-11-24,16,1
12482,29,23691.4,816.94,2010-02-24,2010-05-12,577,1
12409,7,23419.29,3345.61,2010-05-23,2011-09-22,79,1
16133,56,22992.26,410.58,2010-03-31,2011-12-06,4,1
14063,9,22710.2,2523.36,2009-12-08,2010-09-27,439,1
14051,37,22394.4,605.25,2009-12-03,2011-12-09,1,1
16839,44,22310.49,507.06,2010-02-11,2011-12-01,9,1
17340,18,22289.22,1238.29,2010-02-14,2011-11-10,30,1
12540,33,22254.49,674.38,2009-12-07,2011-11-20,20,1
15159,34,22116.73,650.49,2010-10-04,2011-12-08,2,1
13340,12,22100.56,1841.71,2010-02-22,2011-10-25,46,1
13319,58,22082.5,380.73,2009-12-06,2011-12-04,6,1
14667,54,21593.05,399.87,2009-12-02,2011-11-29,11,1
12753,6,21429.39,3571.57,2010-12-12,2011-11-17,23,1
15615,47,21373.97,454.77,2009-12-02,2011-11-29,11,1
14866,19,20850.22,1097.38,2010-08-26,2011-11-29,11,1
17706,31,20749.98,669.35,2010-01-19,2011-12-05,5,1
12433,10,20581.26,2058.13,2010-08-20,2011-12-09,1,1
17243,69,20460.48,296.53,2009-12-01,2011-12-08,2,1
15251,21,20324.54,967.84,2010-01-29,2011-11-30,10,1
12477,9,20276.37,2252.93,2010-03-26,2011-11-17,23,1
18008,23,19759.08,859.09,2010-01-06,2011-09-30,71,1
16843,35,19571.43,559.18,2009-12-10,2011-10-28,43,1
17139,25,19566.76,782.67,2010-01-11,2011-11-24,16,1
17581,43,18737.95,435.77,2009-12-03,2011-12-09,1,1
12557,8,18716.14,2339.52,2009-12-17,2011-11-23,17,1
14194,36,18670.59,518.63,2010-01-06,2011-12-05,5,1
13113,37,18603.04,502.78,2010-03-28,2011-12-09,1,1
12357,3,18287.66,6095.89,2010-11-16,2011-11-06,34,1
17377,78,18232.57,233.75,2009-12-02,2011-11-16,24,1
15808,21,18133.3,863.49,2009-12-01,2011-02-06,307,1
16746,42,18046.75,429.68,2009-12-04,2011-12-05,5,1
12647,36,17924.35,497.9,2010-01-13,2011-11-17,23,1
12472,19,17880.59,941.08,2009-12-14,2011-11-07,33,1
15078,53,17761.88,335.13,2009-12-04,2011-12-02,8,1
12901,28,17654.54,630.52,2011-03-14,2011-12-01,9,1
14952,32,17629.35,550.92,2009-12-03,2011-10-11,60,1
16652,16,17550.39,1096.9,2010-03-17,2011-10-12,59,1
15189,46,17524.38,380.96,2010-07-18,2011-12-08,2,1
18172,52,17467.24,335.91,2009-12-11,2011-11-25,15,1
16019,27,17329.16,641.82,2009-12-14,2011-10-24,47,1
17416,22,17298.45,786.29,2009-12-14,2011-11-10,30,1
15523,16,17259.19,1078.7,2009-12-02,2011-09-16,85,1
17735,26,17244.93,663.27,2010-07-30,2011-12-07,3,1
13027,19,17239.2,907.33,2010-01-20,2011-08-18,114,1
14277,9,17197.61,1910.85,2009-12-13,2011-11-24,16,1
15358,42,17050.41,405.96,2009-12-07,2011-12-05,5,1
13564,37,17035.02,460.41,2009-12-02,2011-07-18,145,1
15125,24,17024.87,709.37,2010-03-31,2011-11-14,26,1
16656,30,16833.17,561.11,2009-12-04,2011-11-17,23,1
12454,5,16679.78,3335.96,2010-10-14,2011-10-14,57,1
16553,33,16584.01,502.55,2010-02-11,2011-06-29,164,1
13199,67,16432.89,245.27,2009-12-05,2011-12-06,4,1
14961,22,16410.15,745.92,2009-12-04,2011-11-29,11,1
13225,16,16260.07,1016.25,2009-12-17,2011-12-06,4,1
16180,13,16249.87,1249.99,2010-06-23,2011-08-31,101,1
12980,21,16245.78,773.61,2009-12-02,2011-07-05,158,1
18092,18,16179.44,898.86,2009-12-04,2011-12-07,3,1
14733,15,16165.17,1077.68,2010-11-02,2011-11-23,17,1
17107,10,16052.72,1605.27,2010-01-31,2011-11-06,34,1
15044,35,16024.15,457.83,2009-12-16,2011-11-20,20,1
12971,116,15972.79,137.7,2009-12-15,2011-12-06,4,1
17716,24,15956.97,664.87,2009-12-02,2011-11-17,23,1
14849,43,15763.45,366.59,2010-01-10,2011-11-18,22,1
16191,24,15677.82,653.24,2009-12-11,2011-12-07,3,1
13488,23,15587.88,677.73,2010-01-25,2011-11-22,18,1
12949,22,15526.7,705.76,2009-12-03,2011-11-09,31,1
14769,17,15514.11,912.59,2009-12-16,2011-12-07,3,1
15768,34,15308.89,450.26,2009-12-03,2011-08-16,116,1
15601,30,14960.12,498.67,2009-12-01,2011-11-28,12,1
18087,17,14761.52,868.32,2009-12-01,2011-09-02,99,1
16126,15,14644.6,976.31,2009-12-02,2011-11-10,30,1
17133,12,14622.33,1218.53,2010-03-21,2011-11-24,16,1
16873,12,14617.39,1218.12,2010-02-09,2011-12-05,5,1
14543,39,14587.87,374.05,2009-12-01,2011-11-11,29,1
16713,32,14529.99,454.06,2009-12-15,2011-11-21,19,1
17448,46,14523.67,315.73,2010-03-04,2010-07-30,498,1
14299,27,14499.49,537.02,2009-12-02,2011-12-01,9,1
12583,27,14447.44,535.09,2009-12-06,2011-12-07,3,1
15482,19,14417.36,758.81,2009-12-02,2011-11-24,16,1
15093,23,14326.11,622.87,2009-12-08,2011-11-21,19,1
17017,29,14110.61,486.57,2009-12-03,2011-12-07,3,1
13090,24,14100.14,587.51,2010-08-02,2011-12-01,9,1
12714,12,14093.71,1174.48,2009-12-04,2011-11-30,10,1
12476,23,14083.91,612.34,2010-07-26,2011-11-24,16,1
13178,21,14059.19,669.49,2009-12-16,2011-11-13,27,1
18223,26,14000.85,538.49,2009-12-04,2011-12-05,5,1
15005,56,13977.08,249.59,2009-12-01,2011-11-24,16,1
15502,14,13933.27,995.23,2010-06-03,2011-11-24,16,1
12435,6,13925.93,2320.99,2009-12-02,2011-09-21,80,1
15760,2,13916.34,6958.17,2010-03-19,2010-03-19,631,1
16558,38,13873.51,365.09,2009-12-03,2011-12-09,1,1
15291,40,13846.56,346.16,2009-12-03,2011-11-14,26,1
17589,18,13837.94,768.77,2010-03-07,2011-10-10,61,1
15032,8,13780.65,1722.58,2009-12-10,2011-03-28,257,1
15382,12,13733.55,1144.46,2009-12-04,2011-11-25,15,1
12567,15,13709.86,913.99,2010-02-11,2011-11-17,23,1
12989,33,13551.75,410.66,2009-12-10,2011-12-06,4,1
13468,72,13375.51,185.77,2009-12-03,2011-12-08,2,1
15738,41,13372.97,326.17,2009-12-10,2011-11-21,19,1
13629,19,13370.86,703.73,2010-02-11,2011-11-16,24,1
13097,28,13324.1,475.86,2009-12-01,2011-11-07,33,1
13969,35,13291.05,379.74,2010-03-25,2011-12-02,8,1
16923,32,13157.13,411.16,2010-01-31,2011-11-27,13,1
18225,26,13044.8,501.72,2009-12-04,2011-12-06,4,1
14049,13,13023.4,1001.8,2010-04-01,2011-11-23,17,1
14110,33,12987.95,393.57,2009-12-01,2011-12-06,4,1
13668,35,12948.48,369.96,2009-12-11,2011-12-07,3,1
13316,10,12940.82,1294.08,2010-03-10,2011-11-02,38,1
13952,14,12823.52,915.97,2009-12-16,2011-05-06,218,1
16549,34,12781.8,375.94,2010-03-28,2011-11-29,11,1
17858,30,12754.9,425.16,2009-12-06,2011-12-04,6,1
16161,43,12744.26,296.38,2010-02-08,2011-12-08,2,1
12683,21,12696.78,604.61,2009-12-13,2011-12-05,5,1
12437,39,12683.4,325.22,2009-12-02,2011-12-08,2,1
12451,8,12669.88,1583.73,2010-06-28,2011-11-29,11,1
15465,32,12636.15,394.88,2009-12-10,2011-11-20,20,1
13013,29,12625.77,435.37,2009-12-14,2011-12-08,2,1
12536,3,12601.83,4200.61,2011-10-11,2011-10-27,44,1
14040,35,12523.81,357.82,2009-12-01,2011-10-30,41,1
15194,28,12427.69,443.85,2009-12-03,2011-12-06,4,1
14936,12,12410.81,1034.23,2010-05-05,2011-11-06,34,1
16000,3,12393.7,4131.23,2011-12-07,2011-12-07,3,1
12474,31,12372.75,399.12,2010-02-11,2011-11-22,18,1
12481,15,12344.89,822.99,2010-04-11,2011-11-17,23,1
13050,35,12314.53,351.84,2009-12-15,2011-11-25,15,1
14739,25,12287.5,491.5,2009-12-02,2011-12-05,5,1
13854,39,12253.96,314.2,2010-01-08,2011-12-01,9,1
14735,56,12240.16,218.57,2009-12-04,2011-12-06,4,1
16814,36,12198.14,338.84,2010-04-11,2011-11-25,15,1
13418,31,12182.9,393.0,2009-12-11,2011-11-28,12,1
15144,29,12160.31,419.32,2009-12-13,2011-12-01,9,1
15555,36,12062.69,335.07,2009-12-06,2011-11-27,13,1
15023,20,12008.05,600.4,2010-02-03,2011-12-06,4,1
14415,23,11980.09,520.87,2009-12-16,2011-12-08,2,1
17364,28,11972.92,427.6,2009-12-07,2011-12-09,1,1
17044,12,11962.3,996.86,2009-12-07,2011-11-14,26,1
13458,16,11959.27,747.45,2010-11-16,2011-12-02,8,1
