feature,bucket,products,product_share,description
active_months,1,204,0.0441,Number of months in which a merchandise product recorded sales.
active_months,2-3,436,0.0942,Number of months in which a merchandise product recorded sales.
active_months,4-6,619,0.1338,Number of months in which a merchandise product recorded sales.
active_months,7-12,1100,0.2378,Number of months in which a merchandise product recorded sales.
active_months,13-18,803,0.1736,Number of months in which a merchandise product recorded sales.
active_months,19-25,1464,0.3165,Number of months in which a merchandise product recorded sales.
total_revenue,<=GBP100,692,0.1496,Historical revenue generated by a merchandise product.
total_revenue,GBP100-500,949,0.2051,Historical revenue generated by a merchandise product.
total_revenue,GBP500-1k,678,0.1466,Historical revenue generated by a merchandise product.
total_revenue,GBP1k-5k,1504,0.3251,Historical revenue generated by a merchandise product.
total_revenue,GBP5k-10k,389,0.0841,Historical revenue generated by a merchandise product.
total_revenue,GBP10k-50k,386,0.0834,Historical revenue generated by a merchandise product.
total_revenue,GBP50k+,28,0.0061,Historical revenue generated by a merchandise product.
days_since_last_sale,0-30 days,2654,0.5737,Days since the product last appeared in a sale.
days_since_last_sale,31-90 days,360,0.0778,Days since the product last appeared in a sale.
days_since_last_sale,91-180 days,207,0.0447,Days since the product last appeared in a sale.
days_since_last_sale,181-365 days,401,0.0867,Days since the product last appeared in a sale.
days_since_last_sale,365+ days,1004,0.217,Days since the product last appeared in a sale.
