stock_code,product_description,next_quarter,method,active_months,historical_revenue,latest_quarter_quantity,latest_quarter_revenue,forecast_quantity,forecast_revenue,note
22423,REGENCY CAKESTAND 3 TIER,2012-Q1,Average of the last four quarters,22,285992.35,2359,27466.17,2705.0,31170.81,Forecast limited to stable high-revenue merchandise products.
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2012-Q1,Average of the last four quarters,25,251886.61,7307,20553.81,8288.0,22736.35,Forecast limited to stable high-revenue merchandise products.
85099B,RED RETROSPOT JUMBO BAG,2012-Q1,Average of the last four quarters,25,170297.99,11969,22495.37,11006.0,20355.33,Forecast limited to stable high-revenue merchandise products.
84879,ASSORTED COLOUR BIRD ORNAMENT,2012-Q1,Average of the last four quarters,25,126704.06,9076,14551.24,8251.0,13190.11,Forecast limited to stable high-revenue merchandise products.
47566,PARTY BUNTING,2012-Q1,Average of the last four quarters,25,103802.53,1416,6613.48,3772.0,16997.93,Forecast limited to stable high-revenue merchandise products.
22086,PAPER CHAIN KIT 50'S CHRISTMAS,2012-Q1,Average of the last four quarters,23,79455.68,10541,28808.67,3475.0,9496.92,Forecast limited to stable high-revenue merchandise products.
79321,CHILLI LIGHTS,2012-Q1,Average of the last four quarters,25,72527.79,3148,15879.74,2044.0,10016.44,Forecast limited to stable high-revenue merchandise products.
22386,JUMBO BAG PINK WITH WHITE SPOTS,2012-Q1,Average of the last four quarters,24,68376.66,5040,9376.65,4925.0,9110.19,Forecast limited to stable high-revenue merchandise products.
21137,BLACK RECORD COVER FRAME,2012-Q1,Average of the last four quarters,25,67175.69,4254,14598.95,2391.0,8199.25,Forecast limited to stable high-revenue merchandise products.
48138,DOORMAT UNION FLAG,2012-Q1,Average of the last four quarters,25,64846.1,409,3143.33,852.0,5530.22,Forecast limited to stable high-revenue merchandise products.
85099F,JUMBO BAG STRAWBERRY,2012-Q1,Average of the last four quarters,25,64495.57,2999,5567.57,4085.0,7447.7,Forecast limited to stable high-revenue merchandise products.
20685,RED SPOTTY COIR DOORMAT,2012-Q1,Average of the last four quarters,25,61781.89,596,4494.2,885.0,5709.68,Forecast limited to stable high-revenue merchandise products.
82484,WOOD BLACK BOARD ANT WHITE FINISH,2012-Q1,Average of the last four quarters,21,60449.79,1023,6393.86,1144.0,6932.37,Forecast limited to stable high-revenue merchandise products.
20725,LUNCH BAG RED SPOTTY,2012-Q1,Average of the last four quarters,25,59980.2,3248,5222.16,4282.0,6775.81,Forecast limited to stable high-revenue merchandise products.
21843,RETRO SPOT CAKE STAND,2012-Q1,Average of the last four quarters,25,59376.44,570,4655.7,402.0,3944.2,Forecast limited to stable high-revenue merchandise products.
22197,SMALL POPCORN HOLDER,2012-Q1,Average of the last four quarters,25,59069.39,19452,14719.14,11763.0,8890.48,Forecast limited to stable high-revenue merchandise products.
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,2012-Q1,Average of the last four quarters,19,57710.32,5020,11349.03,1519.0,3446.01,Forecast limited to stable high-revenue merchandise products.
15056N,EDWARDIAN PARASOL NATURAL,2012-Q1,Average of the last four quarters,25,54717.66,506,2842.7,922.0,4987.18,Forecast limited to stable high-revenue merchandise products.
21621,VINTAGE UNION JACK BUNTING,2012-Q1,Average of the last four quarters,24,54696.12,248,2116.13,618.0,5100.29,Forecast limited to stable high-revenue merchandise products.
85099C,JUMBO  BAG BAROQUE BLACK WHITE,2012-Q1,Average of the last four quarters,25,52979.58,2698,5095.64,2991.0,5552.22,Forecast limited to stable high-revenue merchandise products.
