stock_code,product_description,stock_line_type,total_quantity,total_revenue,order_count,customer_count,average_selling_price,active_months,first_sale_date,last_sale_date,quantity_rank,revenue_rank
22423,REGENCY CAKESTAND 3 TIER,merchandise,24858,285992.35,3317,1314,11.51,22,2010-03-15,2011-12-09,50,1
85123A,WHITE HANGING HEART T-LIGHT HOLDER,merchandise,93577,251886.61,4895,1490,2.69,25,2009-12-01,2011-12-09,3,2
85099B,RED RETROSPOT JUMBO BAG,merchandise,94809,170297.99,3260,978,1.8,25,2009-12-01,2011-12-09,2,3
23843,"PAPER CRAFT , LITTLE BIRDIE",merchandise,80995,168469.6,1,1,2.08,1,2011-12-09,2011-12-09,5,4
M,Manual,service_or_admin_line,9501,151951.92,620,438,15.99,25,2009-12-04,2011-12-08,246,5
84879,ASSORTED COLOUR BIRD ORNAMENT,merchandise,79694,126704.06,2652,1010,1.59,25,2009-12-01,2011-12-09,6,6
POST,POSTAGE,service_or_admin_line,5333,126563.04,1803,405,23.73,25,2009-12-01,2011-12-09,500,7
47566,PARTY BUNTING,merchandise,23591,103802.53,2077,894,4.4,25,2009-12-01,2011-12-08,56,8
23166,MEDIUM CERAMIC TOP STORAGE JAR,merchandise,77916,81416.73,195,138,1.04,9,2011-01-18,2011-12-09,8,9
22086,PAPER CHAIN KIT 50'S CHRISTMAS,merchandise,29430,79455.68,1691,896,2.7,23,2009-12-01,2011-12-09,34,10
79321,CHILLI LIGHTS,merchandise,15658,72527.79,922,304,4.63,25,2009-12-02,2011-12-09,115,11
22386,JUMBO BAG PINK WITH WHITE SPOTS,merchandise,37680,68376.66,1767,601,1.81,24,2010-01-29,2011-12-09,18,12
21137,BLACK RECORD COVER FRAME,merchandise,19620,67175.69,539,198,3.42,25,2009-12-01,2011-12-09,73,13
48138,DOORMAT UNION FLAG,merchandise,9956,64846.1,1511,678,6.51,25,2009-12-15,2011-12-09,230,14
85099F,JUMBO BAG STRAWBERRY,merchandise,36046,64495.57,1514,549,1.79,25,2009-12-01,2011-12-08,21,15
20685,RED SPOTTY COIR DOORMAT,merchandise,9539,61781.89,1478,626,6.48,25,2009-12-01,2011-12-09,245,16
