stock_code,product_description,sale_quarter,quantity_sold,revenue,order_count,customer_count
10002,INFLATABLE POLITICAL GLOBE,2009-Q4,212,180.2,17,16
10002,INFLATABLE POLITICAL GLOBE,2010-Q1,1177,942.21,43,38
10002,INFLATABLE POLITICAL GLOBE,2010-Q2,2980,2275.86,78,65
10002,INFLATABLE POLITICAL GLOBE,2010-Q3,1299,1026.15,55,48
10002,INFLATABLE POLITICAL GLOBE,2010-Q4,2352,1823.7,71,67
10002,INFLATABLE POLITICAL GLOBE,2011-Q1,410,348.5,28,27
10002,INFLATABLE POLITICAL GLOBE,2011-Q2,189,160.65,5,5
10080,GROOVY CACTUS INFLATABLE,2009-Q4,4,3.4,2,2
10080,GROOVY CACTUS INFLATABLE,2010-Q3,7,5.95,2,1
10080,GROOVY CACTUS INFLATABLE,2010-Q4,1,0.85,1,1
10080,GROOVY CACTUS INFLATABLE,2011-Q1,2,1.7,1,1
10080,GROOVY CACTUS INFLATABLE,2011-Q2,48,18.72,1,1
10080,GROOVY CACTUS INFLATABLE,2011-Q3,144,56.16,10,10
10080,GROOVY CACTUS INFLATABLE,2011-Q4,97,37.83,9,9
10109,BENDY COLOUR PENCILS,2009-Q4,4,1.68,1,1
10120,DOGGY RUBBER,2009-Q4,106,22.26,5,5
10120,DOGGY RUBBER,2010-Q1,98,20.58,5,5
10120,DOGGY RUBBER,2010-Q2,94,19.74,4,4
10120,DOGGY RUBBER,2010-Q3,12,2.52,3,3
10120,DOGGY RUBBER,2010-Q4,177,37.17,20,18
10120,DOGGY RUBBER,2011-Q1,58,12.18,5,5
10120,DOGGY RUBBER,2011-Q2,3,0.63,2,2
10120,DOGGY RUBBER,2011-Q3,50,10.5,7,7
10120,DOGGY RUBBER,2011-Q4,65,13.65,11,10
10123C,HEARTS WRAPPING TAPE,2009-Q4,136,76.88,9,9
10123C,HEARTS WRAPPING TAPE,2010-Q1,52,33.8,7,7
10123C,HEARTS WRAPPING TAPE,2010-Q2,64,41.6,7,7
10123C,HEARTS WRAPPING TAPE,2010-Q3,345,54.33,10,10
10123C,HEARTS WRAPPING TAPE,2010-Q4,28,18.2,11,11
10123C,HEARTS WRAPPING TAPE,2011-Q1,4,2.6,2,2
10123G,ARMY CAMO WRAPPING TAPE,2010-Q3,2226,144.18,5,5
10123G,ARMY CAMO WRAPPING TAPE,2010-Q4,20,13.0,7,7
10124A,SPOTS ON RED BOOKCOVER TAPE,2010-Q1,3,1.26,1,1
10124A,SPOTS ON RED BOOKCOVER TAPE,2010-Q2,4,1.68,2,2
10124A,SPOTS ON RED BOOKCOVER TAPE,2010-Q3,28,11.76,6,6
10124A,SPOTS ON RED BOOKCOVER TAPE,2010-Q4,15,6.3,5,5
10124A,SPOTS ON RED BOOKCOVER TAPE,2011-Q1,8,3.36,3,3
10124A,SPOTS ON RED BOOKCOVER TAPE,2011-Q4,4,1.68,1,1
10124G,ARMY CAMO BOOKCOVER TAPE,2010-Q2,4,1.68,2,2
10124G,ARMY CAMO BOOKCOVER TAPE,2010-Q3,9,3.78,2,2
10124G,ARMY CAMO BOOKCOVER TAPE,2010-Q4,12,5.04,2,2
10124G,ARMY CAMO BOOKCOVER TAPE,2011-Q1,4,1.68,1,1
10124G,ARMY CAMO BOOKCOVER TAPE,2011-Q3,4,1.68,1,1
10124G,ARMY CAMO BOOKCOVER TAPE,2011-Q4,4,1.68,1,1
10125,MINI FUNKY DESIGN TAPES,2009-Q4,123,104.55,13,13
10125,MINI FUNKY DESIGN TAPES,2010-Q1,128,108.8,8,8
10125,MINI FUNKY DESIGN TAPES,2010-Q2,103,87.55,8,8
10125,MINI FUNKY DESIGN TAPES,2010-Q3,170,144.5,11,9
10125,MINI FUNKY DESIGN TAPES,2010-Q4,407,302.95,26,25
10125,MINI FUNKY DESIGN TAPES,2011-Q1,272,162.4,16,16
10125,MINI FUNKY DESIGN TAPES,2011-Q2,202,171.7,14,14
10125,MINI FUNKY DESIGN TAPES,2011-Q3,470,399.5,16,14
10125,MINI FUNKY DESIGN TAPES,2011-Q4,138,117.3,8,7
10133,COLOURING PENCILS BROWN TUBE,2009-Q4,153,130.05,15,13
10133,COLOURING PENCILS BROWN TUBE,2010-Q1,292,228.7,16,16
10133,COLOURING PENCILS BROWN TUBE,2010-Q2,155,129.15,14,12
10133,COLOURING PENCILS BROWN TUBE,2010-Q3,160,136.0,16,14
10133,COLOURING PENCILS BROWN TUBE,2010-Q4,330,254.7,33,29
10133,COLOURING PENCILS BROWN TUBE,2011-Q1,210,144.1,16,14
10133,COLOURING PENCILS BROWN TUBE,2011-Q2,555,292.44,36,35
10133,COLOURING PENCILS BROWN TUBE,2011-Q3,1485,623.7,57,55
10134,COLOURING PENCILS BROWN TUBE,2009-Q4,42,52.5,7,7
10134,COLOURING PENCILS BROWN TUBE,2010-Q1,311,350.75,16,16
10134,COLOURING PENCILS BROWN TUBE,2010-Q2,46,57.5,9,9
10134,COLOURING PENCILS BROWN TUBE,2010-Q3,157,171.55,7,7
10134,COLOURING PENCILS BROWN TUBE,2010-Q4,56,70.0,9,9
10135,COLOURING PENCILS BROWN TUBE,2009-Q4,107,133.75,16,15
10135,COLOURING PENCILS BROWN TUBE,2010-Q1,1015,1131.95,35,34
10135,COLOURING PENCILS BROWN TUBE,2010-Q2,259,304.75,19,16
10135,COLOURING PENCILS BROWN TUBE,2010-Q3,170,212.5,20,19
10135,COLOURING PENCILS BROWN TUBE,2010-Q4,797,711.65,59,52
10135,COLOURING PENCILS BROWN TUBE,2011-Q1,780,588.4,30,29
10135,COLOURING PENCILS BROWN TUBE,2011-Q2,93,116.25,15,14
10135,COLOURING PENCILS BROWN TUBE,2011-Q3,396,485.68,22,18
10135,COLOURING PENCILS BROWN TUBE,2011-Q4,301,401.96,33,22
10138,ASSORTED COLOUR JUMBO PEN,2009-Q4,167,70.14,7,7
10138,ASSORTED COLOUR JUMBO PEN,2010-Q1,62,26.04,7,6
10138,ASSORTED COLOUR JUMBO PEN,2010-Q2,18,7.56,2,2
11001,ASSTD DESIGN RACING CAR PEN,2009-Q4,195,329.55,13,13
11001,ASSTD DESIGN RACING CAR PEN,2010-Q1,150,253.5,11,11
11001,ASSTD DESIGN RACING CAR PEN,2010-Q2,964,1419.16,26,23
11001,ASSTD DESIGN RACING CAR PEN,2010-Q3,418,706.42,25,23
11001,ASSTD DESIGN RACING CAR PEN,2010-Q4,1408,2139.84,46,39
11001,ASSTD DESIGN RACING CAR PEN,2011-Q1,97,163.93,6,6
11001,ASSTD DESIGN RACING CAR PEN,2011-Q2,227,383.63,13,12
11001,ASSTD DESIGN RACING CAR PEN,2011-Q3,630,873.02,17,14
11001,ASSTD DESIGN RACING CAR PEN,2011-Q4,233,422.57,21,16
15030,FAN BLACK FRAME,2009-Q4,10,2.9,1,1
15030,FAN BLACK FRAME,2010-Q1,25,7.25,3,3
15030,FAN BLACK FRAME,2010-Q2,20,5.8,3,3
15030,FAN BLACK FRAME,2010-Q3,53,15.37,6,6
15030,FAN BLACK FRAME,2010-Q4,3,0.87,1,1
15030,FAN BLACK FRAME,2011-Q1,5,1.45,1,1
15030,FAN BLACK FRAME,2011-Q2,10,2.9,1,1
15030,FAN BLACK FRAME,2011-Q3,94,27.26,6,5
15030,FAN BLACK FRAME,2011-Q4,34,9.86,4,4
15034,PAPER POCKET TRAVELING FAN,2009-Q4,74,10.36,4,4
15034,PAPER POCKET TRAVELING FAN,2010-Q1,566,79.24,10,10
15034,PAPER POCKET TRAVELING FAN,2010-Q2,1242,157.08,30,29
15034,PAPER POCKET TRAVELING FAN,2010-Q3,989,138.46,27,27
15034,PAPER POCKET TRAVELING FAN,2010-Q4,592,82.88,14,14
15034,PAPER POCKET TRAVELING FAN,2011-Q1,360,50.4,8,8
15034,PAPER POCKET TRAVELING FAN,2011-Q2,2976,299.04,34,31
15034,PAPER POCKET TRAVELING FAN,2011-Q3,700,98.0,24,21
15034,PAPER POCKET TRAVELING FAN,2011-Q4,2345,244.3,21,21
15036,ASSORTED COLOURS SILK FAN,2009-Q4,535,306.95,11,11
15036,ASSORTED COLOURS SILK FAN,2010-Q1,2024,1272.24,52,44
15036,ASSORTED COLOURS SILK FAN,2010-Q2,8627,5758.89,137,114
15036,ASSORTED COLOURS SILK FAN,2010-Q3,3504,2374.8,59,52
15036,ASSORTED COLOURS SILK FAN,2010-Q4,4644,3171.0,61,55
15036,ASSORTED COLOURS SILK FAN,2011-Q1,5996,3987.0,54,46
15036,ASSORTED COLOURS SILK FAN,2011-Q2,8884,6675.8,131,103
15036,ASSORTED COLOURS SILK FAN,2011-Q3,5040,3834.72,77,67
15036,ASSORTED COLOURS SILK FAN,2011-Q4,1824,1447.92,52,46
15039,SANDALWOOD FAN,2009-Q4,39,33.15,6,6
15039,SANDALWOOD FAN,2010-Q1,677,415.45,20,19
15039,SANDALWOOD FAN,2010-Q2,392,301.2,31,29
15039,SANDALWOOD FAN,2010-Q3,1150,766.3,38,35
15039,SANDALWOOD FAN,2010-Q4,362,227.7,18,17
15039,SANDALWOOD FAN,2011-Q1,26,22.1,5,4
15039,SANDALWOOD FAN,2011-Q2,1031,700.35,28,25
15039,SANDALWOOD FAN,2011-Q3,325,276.25,20,19
15039,SANDALWOOD FAN,2011-Q4,159,119.15,14,14
15044A,PINK PAPER PARASOL,2009-Q4,16,47.2,4,4
15044A,PINK PAPER PARASOL,2010-Q1,157,433.55,25,21
15044A,PINK PAPER PARASOL,2010-Q2,4048,10412.0,59,51
15044A,PINK PAPER PARASOL,2010-Q3,126,351.7,19,16
15044A,PINK PAPER PARASOL,2010-Q4,131,346.45,10,9
15044A,PINK PAPER PARASOL,2011-Q1,116,322.2,15,14
15044A,PINK PAPER PARASOL,2011-Q2,164,483.8,34,29
15044A,PINK PAPER PARASOL,2011-Q3,98,289.1,16,16
15044A,PINK PAPER PARASOL,2011-Q4,38,117.78,12,11
15044B,BLUE PAPER PARASOL,2009-Q4,9,26.55,4,4
15044B,BLUE PAPER PARASOL,2010-Q1,54,154.5,10,9
