customer_id,total_orders,total_revenue,average_order_value
18102,145,608821.65,4198.77
14646,151,528602.52,3500.68
14156,156,313759.82,2011.28
14911,398,295832.39,743.3
17450,51,246813.09,4839.47
13694,143,196482.81,1374.01
17511,60,175603.55,2926.73
16446,2,168472.5,84236.25
16684,55,147142.77,2675.32
12415,28,144458.37,5159.23
15061,127,137818.52,1085.19
16029,107,122035.14,1140.52
17949,118,118628.08,1005.32
13089,203,116647.53,574.62
15311,208,116575.49,560.46
12931,57,92347.34,1620.13
14298,82,91194.49,1112.13
15769,46,88704.32,1928.35
12346,12,77556.46,6463.04
13798,110,75836.87,689.43
15838,34,74163.0,2181.26
17841,211,70081.86,332.14
16754,29,67502.47,2327.67
14096,17,65164.79,3833.22
14088,16,64036.8,4002.3
16422,109,63589.07,583.39
13081,28,59205.15,2114.47
14680,58,57369.38,989.13
17389,61,57215.33,937.96
16013,84,57140.44,680.24
17850,155,56600.08,365.16
13777,61,56478.42,925.88
12748,336,55511.09,165.21
13093,55,54943.65,998.98
13408,106,51733.46,488.05
17404,23,47781.12,2077.44
13881,43,45179.1,1050.68
15749,3,44534.3,14844.77
16705,42,43515.05,1036.07
14031,44,40919.58,929.99
17381,38,40002.37,1052.69
12471,79,39918.19,505.29
15098,3,39916.5,13305.5
15039,93,39726.89,427.17
16210,35,38489.51,1099.7
17675,70,38259.6,546.57
17677,54,36675.06,679.17
12921,74,35921.04,485.42
13767,73,35540.53,486.86
12678,21,34281.18,1632.44
13902,5,34095.26,6819.05
15856,52,33847.27,650.91
16779,53,33165.94,625.77
14258,25,32051.34,1282.05
17428,45,31819.76,707.11
12681,45,30868.28,685.96
12709,34,30814.46,906.31
14606,192,30558.25,159.16
17940,16,30306.79,1894.17
13078,57,29532.45,518.11
13098,28,28882.44,1031.52
17857,24,28682.24,1195.09
14527,122,27764.21,227.58
15513,35,27750.55,792.87
16333,22,26626.8,1210.31
17865,46,26312.19,572.0
18251,9,26278.86,2919.87
13802,19,26259.11,1382.06
15498,44,25949.58,589.76
12731,17,25775.71,1516.22
14062,24,25585.65,1066.07
12744,11,25317.06,2301.55
12939,20,25264.8,1263.24
14895,38,25119.54,661.04
12621,35,24775.81,707.88
16525,48,24562.74,511.72
17920,54,24256.74,449.2
13001,33,24042.65,728.57
12682,52,24025.51,462.03
15640,29,23828.03,821.66
14607,22,23763.13,1080.14
12482,29,23691.4,816.94
12409,7,23419.29,3345.61
16133,56,22992.26,410.58
14063,9,22710.2,2523.36
14051,37,22394.4,605.25
16839,44,22310.49,507.06
17340,18,22289.22,1238.29
12540,33,22254.49,674.38
15159,34,22116.73,650.49
13340,12,22100.56,1841.71
13319,58,22082.5,380.73
14667,54,21593.05,399.87
12753,6,21429.39,3571.57
15615,47,21373.97,454.77
14866,19,20850.22,1097.38
17706,31,20749.98,669.35
12433,10,20581.26,2058.13
17243,69,20460.48,296.53
15251,21,20324.54,967.84
12477,9,20276.37,2252.93
18008,23,19759.08,859.09
16843,35,19571.43,559.18
17139,25,19566.76,782.67
17581,43,18737.95,435.77
12557,8,18716.14,2339.52
14194,36,18670.59,518.63
13113,37,18603.04,502.78
12357,3,18287.66,6095.89
17377,78,18232.57,233.75
15808,21,18133.3,863.49
16746,42,18046.75,429.68
12647,36,17924.35,497.9
12472,19,17880.59,941.08
15078,53,17761.88,335.13
12901,28,17654.54,630.52
14952,32,17629.35,550.92
16652,16,17550.39,1096.9
15189,46,17524.38,380.96
18172,52,17467.24,335.91
16019,27,17329.16,641.82
17416,22,17298.45,786.29
15523,16,17259.19,1078.7
17735,26,17244.93,663.27
13027,19,17239.2,907.33
14277,9,17197.61,1910.85
15358,42,17050.41,405.96
13564,37,17035.02,460.41
15125,24,17024.87,709.37
16656,30,16833.17,561.11
12454,5,16679.78,3335.96
16553,33,16584.01,502.55
13199,67,16432.89,245.27
14961,22,16410.15,745.92
13225,16,16260.07,1016.25
16180,13,16249.87,1249.99
12980,21,16245.78,773.61
18092,18,16179.44,898.86
14733,15,16165.17,1077.68
17107,10,16052.72,1605.27
15044,35,16024.15,457.83
12971,116,15972.79,137.7
17716,24,15956.97,664.87
14849,43,15763.45,366.59
16191,24,15677.82,653.24
13488,23,15587.88,677.73
12949,22,15526.7,705.76
14769,17,15514.11,912.59
15768,34,15308.89,450.26
15601,30,14960.12,498.67
18087,17,14761.52,868.32
16126,15,14644.6,976.31
17133,12,14622.33,1218.53
16873,12,14617.39,1218.12
14543,39,14587.87,374.05
16713,32,14529.99,454.06
17448,46,14523.67,315.73
14299,27,14499.49,537.02
12583,27,14447.44,535.09
15482,19,14417.36,758.81
15093,23,14326.11,622.87
17017,29,14110.61,486.57
13090,24,14100.14,587.51
12714,12,14093.71,1174.48
12476,23,14083.91,612.34
13178,21,14059.19,669.49
18223,26,14000.85,538.49
15005,56,13977.08,249.59
15502,14,13933.27,995.23
12435,6,13925.93,2320.99
15760,2,13916.34,6958.17
16558,38,13873.51,365.09
15291,40,13846.56,346.16
17589,18,13837.94,768.77
15032,8,13780.65,1722.58
15382,12,13733.55,1144.46
12567,15,13709.86,913.99
12989,33,13551.75,410.66
13468,72,13375.51,185.77
15738,41,13372.97,326.17
13629,19,13370.86,703.73
13097,28,13324.1,475.86
13969,35,13291.05,379.74
16923,32,13157.13,411.16
18225,26,13044.8,501.72
14049,13,13023.4,1001.8
14110,33,12987.95,393.57
