stock_code,product_description,stock_line_type,total_quantity,total_revenue,order_count,customer_count,average_selling_price,active_months,first_sale_date,last_sale_date,quantity_rank,revenue_rank,days_since_last_sale
37503,TEA TIME CAKE STAND IN GIFT BOX,merchandise,2384,23784.8,465,256,9.98,9,2009-12-01,2010-08-01,1022,135,496
21527,RETRO SPOT TRADITIONAL TEAPOT,merchandise,3295,23566.29,729,352,7.15,18,2009-12-01,2011-05-15,783,140,209
79323W,WHITE CHERRY LIGHTS,merchandise,2948,17384.8,313,174,5.9,9,2009-12-01,2010-09-16,858,223,450
35004C,SET OF 3 COLOURED  FLYING DUCKS,merchandise,3096,14730.0,229,112,4.76,16,2009-12-02,2011-03-07,824,275,278
85232B,SET/3 RUSSIAN DOLL STACKING TINS,merchandise,2930,14019.1,441,208,4.78,15,2009-12-01,2011-02-11,862,288,302
47556B,TEA TIME TEA TOWELS,merchandise,5141,13363.35,408,209,2.6,14,2009-12-01,2011-04-18,515,302,236
79323P,PINK CHERRY LIGHTS,merchandise,2234,13198.1,229,132,5.91,7,2009-12-01,2011-01-11,1082,303,333
85042,ANTIQUE LILY FAIRY LIGHTS,merchandise,2668,12081.0,281,142,4.53,12,2009-12-01,2010-11-16,929,343,389
22444,GROW YOUR OWN PLANT IN A CAN,merchandise,9200,11258.32,328,249,1.22,14,2010-03-23,2011-04-13,259,369,241
22198,"POPCORN HOLDER , LARGE",merchandise,7064,11177.2,478,240,1.58,15,2009-12-02,2011-02-21,354,373,292
47570B,TEA TIME TABLE CLOTH,merchandise,932,8895.48,188,129,9.54,16,2009-12-01,2011-03-29,1957,475,256
21769,VINTAGE POST OFFICE CABINET,merchandise,134,8562.52,48,42,63.9,13,2009-12-03,2010-12-07,3398,483,368
79323LP,LIGHT PINK CHERRY LIGHTS,merchandise,1420,8311.0,159,107,5.85,7,2009-12-01,2010-10-25,1522,494,411
84839,SWEETHEART KEY CABINET,merchandise,1478,8201.7,351,219,5.55,11,2009-12-01,2010-10-26,1490,502,410
21777,RECIPE BOX WITH METAL HEART,merchandise,1064,8101.8,312,169,7.61,13,2009-12-01,2010-12-01,1803,512,374
21488,RED WHITE SCARF  HOT WATER BOTTLE,merchandise,2160,7926.0,301,216,3.67,12,2009-12-01,2010-12-01,1117,519,374
22275,WEEKEND BAG VINTAGE ROSE PAISLEY,merchandise,971,7843.8,280,168,8.08,13,2009-12-01,2010-12-02,1910,523,373
21186,WHITE DOVE HONEYCOMB PAPER GARLAND,merchandise,5017,7729.05,274,187,1.54,12,2009-12-01,2010-11-26,529,528,379
85064,CREAM SWEETHEART LETTER RACK,merchandise,1723,7654.67,239,172,4.44,11,2009-12-01,2011-01-27,1351,532,317
85067,CREAM SWEETHEART WALL CABINET,merchandise,478,7524.96,154,110,15.74,14,2009-12-01,2011-01-13,2516,543,331
21870,I CAN ONLY PLEASE ONE PERSON MUG,merchandise,6204,7446.06,539,243,1.2,19,2009-12-01,2011-06-06,405,550,187
22242,"HOOK, 5 HANGER , MAGIC TOADSTOOL",merchandise,4712,7354.8,305,186,1.56,15,2009-12-10,2011-02-16,567,554,297
21737,SET 3 WICKER LOG BASKETS,merchandise,397,7320.15,163,118,18.44,11,2009-12-01,2010-10-18,2667,555,418
22073,RETRO SPOT STORAGE JAR,merchandise,1965,7134.75,360,227,3.63,18,2009-12-01,2011-05-04,1226,565,220
48189,DOORMAT FRIENDSHIP,merchandise,1226,7033.74,207,152,5.74,10,2009-12-01,2010-09-20,1673,575,446
