stock_code,product_description,stock_line_type,total_quantity,total_revenue,order_count,customer_count,average_selling_price,active_months,first_sale_date,last_sale_date,quantity_rank,revenue_rank,days_since_last_sale
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,merchandise,108929,24843.95,920,482,0.23,25,2009-12-01,2011-12-09,1,124,1
85099B,RED RETROSPOT JUMBO BAG,merchandise,94809,170297.99,3260,978,1.8,25,2009-12-01,2011-12-09,2,3,1
85123A,WHITE HANGING HEART T-LIGHT HOLDER,merchandise,93577,251886.61,4895,1490,2.69,25,2009-12-01,2011-12-09,3,2,1
21212,PACK OF 72 RETROSPOT CAKE CASES,merchandise,91175,44018.94,2508,1115,0.48,25,2009-12-01,2011-12-08,4,45,2
23843,"PAPER CRAFT , LITTLE BIRDIE",merchandise,80995,168469.6,1,1,2.08,1,2011-12-09,2011-12-09,5,4,1
84879,ASSORTED COLOUR BIRD ORNAMENT,merchandise,79694,126704.06,2652,1010,1.59,25,2009-12-01,2011-12-09,6,6,1
22197,SMALL POPCORN HOLDER,merchandise,77933,59069.39,1752,601,0.76,25,2009-12-01,2011-12-09,7,20,1
23166,MEDIUM CERAMIC TOP STORAGE JAR,merchandise,77916,81416.73,195,138,1.04,9,2011-01-18,2011-12-09,8,9,1
17003,BROCADE RING PURSE,merchandise,71093,14817.27,387,215,0.21,25,2009-12-01,2011-12-08,9,273,2
21977,PACK OF 60 PINK PAISLEY CAKE CASES,merchandise,55101,26656.1,1578,767,0.48,25,2009-12-01,2011-12-08,10,112,2
